cppi_score_clipped,gpr_index,gpr_country_share,wave_height_m,lpi_score,lsci_score,vessel_size_teu,month_sin,month_cos,quarter,port_delay_rate_lag1m,port_delay_rate_lag3m,port_mean_delay_lag1m,port_mean_delay_lag3m,port_mean_delay_lag6m,suez_route_port,us_west_coast_port,vessel_type_bulk,vessel_type_container,vessel_type_tanker,region_americas,region_asia_pacific,region_europe,region_middle_east
0.47499755,0.0016730872,-0.0070235017,-0.009350391,-0.00607605,0.0012922939,-0.002448542,-0.0049647377,0.0056491117,-0.0071732095,0.026646044,0.013512172,0.029942108,0.0032735853,-0.04372221,0.0022348263,-6.589861e-05,0.0021857072,0.0043717083,0.0022674035,-0.0029565583,0.0014571052,0.000110603105,0.0070674354
0.46869755,0.0027734516,-0.010837929,-0.009092086,-0.012111593,-0.0005628895,0.003246447,-0.0049869576,0.006758785,-0.008107087,0.025955852,0.013044794,0.03490913,0.00810466,-0.039771277,0.0021067823,-9.2582384e-05,0.0022724506,0.0046142465,0.0022670238,-0.0022525226,0.0017728058,0.00012349874,0.006722362
0.4580045,-0.0042157765,-0.01055397,-0.008824346,-0.011064937,-0.0005107081,-0.0069224923,-0.004982021,0.0065150084,-0.007108208,0.030026287,0.012320308,0.03869651,0.008126507,-0.048713572,0.002254532,-0.00011571706,0.0022620265,0.0046142465,0.0022690976,-0.0030701696,0.0015456325,0.00010024062,0.0072410754
0.47121322,0.0019892268,-0.010986772,-0.009092086,-0.012111593,-0.000557775,0.0019633227,-0.004977146,0.006758785,-0.008107087,0.026074287,0.013044794,0.0345957,0.008107623,-0.039782036,0.0021067823,-9.2582384e-05,0.0022724506,0.0046142465,0.0022762085,-0.0023625672,0.0017728058,0.000112742484,0.006722362
0.47924942,0.007973533,-0.00691936,-0.008432392,-0.010991347,-0.0009775317,0.007934319,-0.00504042,0.00581107,-0.007227891,0.029165337,0.013956228,0.0334181,0.0045425915,-0.03594328,0.002254532,-4.665441e-05,0.0021843226,0.0045811837,0.0022696378,-0.0030760295,0.0015554959,0.000110603105,0.0070674354
0.46057728,0.003135304,-0.010743541,-0.008951253,-0.011617435,-0.00045708485,0.0076564546,-0.0049803792,0.0069848318,-0.007929886,0.026096268,0.01317179,0.038732603,0.0086270375,-0.042120535,0.002254532,-0.00011571706,0.0022724506,0.0046142465,0.0022770215,-0.0030318133,0.0015456325,0.00010024062,0.0074568056
0.47715253,0.0009121855,-0.007839443,-0.008979564,-0.0060837613,0.0011738451,-0.0025374999,-0.0050772727,0.005247809,-0.007178858,0.026893683,0.013548608,0.030549793,0.0026909204,-0.044251382,0.0022348263,-6.589861e-05,0.0021857072,0.0043717083,0.0022674035,-0.0029565583,0.0014628833,0.000110603105,0.0070674354
0.45323366,0.014064704,-0.00905468,-0.014045781,-0.0070982706,-0.009175262,0.008717708,-0.005507914,0.0070221913,-0.008132299,0.0303254,0.006775543,0.022459263,-0.018635377,-0.03239679,0.0021067823,-8.770896e-05,0.0027021898,-0.023111027,-0.020677106,-0.0023007542,0.0017214697,0.00010813789,0.0072479057
0.48053405,0.0076683955,-0.006974294,-0.009312597,-0.010991347,0.00046006037,0.01026666,-0.005024001,0.005746715,-0.007227891,0.026558848,0.013912402,0.033330698,0.004316249,-0.036588963,0.002254532,-4.665441e-05,0.0021864197,0.004586818,0.0022696378,-0.003132671,0.0014477173,0.000110603105,0.0070674354
0.4580045,-0.0042157765,-0.010548635,-0.008824346,-0.011064937,-0.0005107081,-0.0069316626,-0.004982021,0.0065150084,-0.007108208,0.030026287,0.0123188095,0.03869651,0.008131839,-0.048713572,0.002254532,-0.00011571706,0.0022620265,0.0046142465,0.0022690976,-0.0030701696,0.0015456325,0.00010024062,0.0072410754
